paper_row,paper_label,yaml_path,yaml_sha256,git_commit,architecture_summary,params_paper_M,params_profiled_M,trainable_params_profiled_M,gflops_paper,gflops_profiled,strict_single_factor,traceability,notes
Table 5 row 2,DA-LC-SS2D + BAC + CA,/mnt/d/work/yolo/BAC-SSM-YOLO/configs/models/yolo26-da-lc-ss2d-scbconv-ca.yaml,f68b3c390d43992e24457009d4ec04f3d892080640c132ed0ee9808262fe4d4d,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,"L2:C3k2DALCSS2D(r=2,args=[256, True]); L4:C3k2DALCSS2D(r=2,args=[512, True]); L6:C3k2DALCSS2D(r=2,args=[512, True]); L8:C3k2DALCSS2D(r=2,args=[1024, True]); L10:C2PSADALCSS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DALCSS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.34,5.342903,5.342903,15.28,15.313958,YES,CONFIRMED,public repository
YAML inventory,standard SS2D + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-ss2d-ca.yaml,9394e24f579d6bb82fbfcf8aff81bb567ecf8afd12971f1cd5b52462114cfc03,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2SS2D(r=2,args=[256, False, 0.25]); L4:C3k2SS2D(r=2,args=[512, False, 0.25]); L6:C3k2SS2D(r=2,args=[512, True]); L8:C3k2SS2D(r=2,args=[1024, True]); L10:C2PSASS2D(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2SS2D(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",,4.807057,4.807057,,14.507634,UNCLEAR,PARTIAL,local legacy experiment directory; absent from public Git history
YAML inventory,standard SS2D + BAC,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-ss2d-scbconv.yaml,885f25b1a2556a263ee416e328e4e97d51d7a5b13685747682596557ab08fe83,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2SCBSS2D(r=2,args=[256, True]); L4:C3k2SCBSS2D(r=2,args=[512, True]); L6:C3k2SCBSS2D(r=2,args=[512, True]); L8:C3k2SCBSS2D(r=2,args=[1024, True]); L10:C2PSASS2D(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2SS2D(r=2,args=[256, True]); L19:C3k2(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",,4.786046,4.786046,,16.54357,UNCLEAR,PARTIAL,local legacy experiment directory; absent from public Git history
Table 6 row 1,standard SS2D + BAC + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/editor_ablation/01_standard_ss2d_scbconv_ca.yaml,b53c75acd3c9c999f3ce3511ea0eb6830e9b6cda7692ffd0615666a3f84e27c3,,"L2:C3k2SS2D(r=2,args=[256, True]); L4:C3k2SS2D(r=2,args=[512, True]); L6:C3k2SS2D(r=2,args=[512, True]); L8:C3k2SS2D(r=2,args=[1024, True]); L10:C2PSASS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2SS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.16,5.291921,5.291921,14.63,15.177842,YES,PARTIAL,local legacy experiment directory; absent from public Git history
Table 6 row 2,DA-only SS2D + BAC + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/editor_ablation/02_da_only_ss2d_scbconv_ca.yaml,7a48eec416312c4d210d90cb0a3e8c338a2fddd6daa29864507b5e6f215aa477,,"L2:C3k2DASS2D(r=2,args=[256, True]); L4:C3k2DASS2D(r=2,args=[512, True]); L6:C3k2DASS2D(r=2,args=[512, True]); L8:C3k2DASS2D(r=2,args=[1024, True]); L10:C2PSADASS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DASS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.22,,,14.66,,YES,NOT_TRACEABLE,local legacy experiment directory; absent from public Git history; NOT REPRODUCIBLE FROM PUBLIC REPOSITORY; profile failed under public code revision: KeyError: 'C3k2DASS2D'
Table 6 row 3,LC-only SS2D + BAC + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/editor_ablation/03_lc_only_ss2d_scbconv_ca.yaml,a99d434cbb57e5d575c024aac213a06172deec06064dbb2a78d4f8bebb58af2b,,"L2:C3k2LCSS2D(r=2,args=[256, True]); L4:C3k2LCSS2D(r=2,args=[512, True]); L6:C3k2LCSS2D(r=2,args=[512, True]); L8:C3k2LCSS2D(r=2,args=[1024, True]); L10:C2PSALCSS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2LCSS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.22,,,14.74,,YES,NOT_TRACEABLE,local legacy experiment directory; absent from public Git history; NOT REPRODUCIBLE FROM PUBLIC REPOSITORY; profile failed under public code revision: KeyError: 'C3k2LCSS2D'
Table 6 row 4,DA-LC-SS2D + BAC + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/editor_ablation/04_da_lc_ss2d_scbconv_ca.yaml,4905c596d1deeafd811f9791fc4a07220144f3c2867a54c941f0238bdfc0bbeb,,"L2:C3k2DALCSS2D(r=2,args=[256, True]); L4:C3k2DALCSS2D(r=2,args=[512, True]); L6:C3k2DALCSS2D(r=2,args=[512, True]); L8:C3k2DALCSS2D(r=2,args=[1024, True]); L10:C2PSADALCSS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DALCSS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.22,5.342903,5.342903,14.77,15.313958,YES,PARTIAL,local legacy experiment directory; absent from public Git history
Table 8 R1,gate ratio 0.03125,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/editor_ablation/09_gate_ratio_r1_003125_scbconv_ca.yaml,1997595ccd8c7a6688066d57f5cce6ea4d78e3a38213d74cd917f9da37ee89df,,"L2:C3k2DALCSS2DR1(r=2,args=[256, True]); L4:C3k2DALCSS2DR1(r=2,args=[512, True]); L6:C3k2DALCSS2DR1(r=2,args=[512, True]); L8:C3k2DALCSS2DR1(r=2,args=[1024, True]); L10:C2PSADALCSS2DR1(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DALCSS2DR1(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",,,,,,YES,NOT_TRACEABLE,local legacy experiment directory; absent from public Git history; NOT TRACEABLE FROM PUBLIC RELEASE; profile failed under public code revision: KeyError: 'C3k2DALCSS2DR1'
Table 8 R2,gate ratio 0.0625,/mnt/d/work/yolo/BAC-SSM-YOLO/configs/models/yolo26-da-lc-ss2d-scbconv-ca.yaml,f68b3c390d43992e24457009d4ec04f3d892080640c132ed0ee9808262fe4d4d,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,"L2:C3k2DALCSS2D(r=2,args=[256, True]); L4:C3k2DALCSS2D(r=2,args=[512, True]); L6:C3k2DALCSS2D(r=2,args=[512, True]); L8:C3k2DALCSS2D(r=2,args=[1024, True]); L10:C2PSADALCSS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DALCSS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.34,5.342903,5.342903,15.28,15.313958,YES,CONFIRMED,public repository
Table 8 R3,gate ratio 0.125,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/editor_ablation/10_gate_ratio_r3_0125_scbconv_ca.yaml,aed7b552516a2e21798c8cad8de29b052a4fd9008833ee6e8e713587d2b68da4,,"L2:C3k2DALCSS2DR3(r=2,args=[256, True]); L4:C3k2DALCSS2DR3(r=2,args=[512, True]); L6:C3k2DALCSS2DR3(r=2,args=[512, True]); L8:C3k2DALCSS2DR3(r=2,args=[1024, True]); L10:C2PSADALCSS2DR3(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DALCSS2DR3(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",,,,,,YES,NOT_TRACEABLE,local legacy experiment directory; absent from public Git history; NOT TRACEABLE FROM PUBLIC RELEASE; profile failed under public code revision: KeyError: 'C3k2DALCSS2DR3'
